Student ID,Name,Amount Due,Payment Status
STU0000115,Student 115,25000,Pending
STU0000116,Student 116,25000,Pending
STU0000117,Student 117,12000,Paid
STU0000118,Student 118,25000,Pending
STU0000119,Student 119,12000,Paid
STU0000120,Student 120,12000,Paid
STU0000121,Student 121,25000,Paid
STU0000122,Student 122,18000,Paid
STU0000123,Student 123,12000,Pending
STU0000124,Student 124,25000,Paid
STU0000125,Student 125,12000,Pending
STU0000126,Student 126,12000,Paid
STU0000127,Student 127,25000,Pending
STU0000128,Student 128,12000,Paid
STU0000129,Student 129,18000,Paid
STU0000130,Student 130,18000,Pending
STU0000131,Student 131,12000,Pending
STU0000132,Student 132,12000,Paid
STU0000133,Student 133,12000,Paid
STU0000134,Student 134,12000,Paid
STU0000135,Student 135,18000,Paid
STU0000136,Student 136,12000,Pending
STU0000137,Student 137,25000,Pending
STU0000138,Student 138,12000,Pending
STU0000139,Student 139,12000,Pending
STU0000140,Student 140,25000,Pending
STU0000141,Student 141,12000,Pending
STU0000142,Student 142,18000,Paid
STU0000143,Student 143,12000,Paid
STU0000144,Student 144,12000,Paid
STU0000145,Student 145,12000,Paid
STU0000146,Student 146,18000,Paid
STU0000147,Student 147,25000,Paid
STU0000148,Student 148,25000,Pending
STU0000149,Student 149,18000,Paid
STU0000150,Student 150,18000,Paid
STU0000151,Student 151,18000,Pending
STU0000152,Student 152,25000,Pending
STU0000153,Student 153,25000,Pending
STU0000154,Student 154,18000,Pending
STU0000155,Student 155,12000,Pending
STU0000156,Student 156,18000,Paid
STU0000157,Student 157,12000,Paid
STU0000158,Student 158,25000,Pending
STU0000159,Student 159,12000,Paid
STU0000160,Student 160,12000,Pending
STU0000161,Student 161,18000,Pending
STU0000162,Student 162,25000,Paid
STU0000163,Student 163,25000,Pending
STU0000164,Student 164,12000,Pending
STU0000165,Student 165,25000,Pending
STU0000166,Student 166,25000,Pending
STU0000167,Student 167,18000,Pending
STU0000168,Student 168,18000,Paid
STU0000169,Student 169,12000,Paid
STU0000170,Student 170,25000,Pending
STU0000171,Student 171,25000,Paid
STU0000172,Student 172,18000,Paid
STU0000173,Student 173,18000,Paid
STU0000174,Student 174,12000,Pending
STU0000175,Student 175,18000,Pending
STU0000176,Student 176,12000,Pending
STU0000177,Student 177,25000,Paid
STU0000178,Student 178,25000,Pending
STU0000179,Student 179,25000,Paid
STU0000180,Student 180,25000,Pending
STU0000181,Student 181,25000,Paid
STU0000182,Student 182,25000,Paid
STU0000183,Student 183,18000,Paid
STU0000184,Student 184,12000,Pending
STU0000185,Student 185,12000,Paid
STU0000186,Student 186,25000,Paid
STU0000187,Student 187,25000,Pending
STU0000188,Student 188,12000,Paid
STU0000189,Student 189,18000,Paid
STU0000190,Student 190,12000,Paid
STU0000191,Student 191,25000,Pending
STU0000192,Student 192,25000,Pending
STU0000193,Student 193,25000,Pending
STU0000194,Student 194,12000,Paid
STU0000195,Student 195,25000,Paid
STU0000196,Student 196,12000,Paid
STU0000197,Student 197,25000,Paid
STU0000198,Student 198,25000,Pending
STU0000199,Student 199,25000,Paid
STU0000200,Student 200,12000,Paid
STU0000201,Student 201,12000,Paid
STU0000202,Student 202,18000,Pending
STU0000203,Student 203,18000,Pending
STU0000204,Student 204,25000,Pending
STU0000205,Student 205,18000,Pending
STU0000206,Student 206,12000,Pending
STU0000207,Student 207,25000,Paid
STU0000208,Student 208,18000,Paid
STU0000209,Student 209,18000,Pending
STU0000210,Student 210,12000,Pending
STU0000211,Student 211,12000,Paid
STU0000212,Student 212,12000,Pending
STU0000213,Student 213,25000,Pending
STU0000214,Student 214,25000,Pending
STU0000215,Student 215,25000,Paid
STU0000216,Student 216,12000,Pending
STU0000217,Student 217,12000,Paid
STU0000218,Student 218,25000,Pending
STU0000219,Student 219,12000,Pending
STU0000220,Student 220,25000,Pending
STU0000221,Student 221,25000,Pending
STU0000222,Student 222,12000,Pending
STU0000223,Student 223,12000,Pending
STU0000224,Student 224,18000,Pending
STU0000225,Student 225,12000,Paid
STU0000226,Student 226,25000,Pending
STU0000227,Student 227,12000,Pending
STU0000228,Student 228,18000,Paid
STU0000229,Student 229,18000,Pending
STU0000230,Student 230,25000,Paid
STU0000231,Student 231,18000,Paid
STU0000232,Student 232,18000,Paid
STU0000233,Student 233,18000,Paid
STU0000234,Student 234,18000,Paid
STU0000235,Student 235,12000,Paid
STU0000236,Student 236,12000,Pending
STU0000237,Student 237,12000,Paid
STU0000238,Student 238,18000,Paid
STU0000239,Student 239,12000,Paid
STU0000240,Student 240,18000,Paid
STU0000241,Student 241,12000,Pending
STU0000242,Student 242,12000,Pending
STU0000243,Student 243,12000,Paid
STU0000244,Student 244,12000,Paid
STU0000245,Student 245,18000,Pending
STU0000246,Student 246,12000,Pending
STU0000247,Student 247,18000,Pending
STU0000248,Student 248,12000,Paid
STU0000249,Student 249,18000,Pending
STU0000250,Student 250,18000,Pending
STU0000251,Student 251,18000,Paid
STU0000252,Student 252,12000,Pending
STU0000253,Student 253,18000,Paid
STU0000254,Student 254,25000,Pending
STU0000255,Student 255,12000,Pending
STU0000256,Student 256,12000,Pending
STU0000257,Student 257,12000,Pending
STU0000258,Student 258,25000,Pending
STU0000259,Student 259,12000,Pending
STU0000260,Student 260,25000,Pending
STU0000261,Student 261,18000,Pending
STU0000262,Student 262,25000,Pending
STU0000263,Student 263,12000,Pending
STU0000264,Student 264,25000,Paid
STU0000265,Student 265,25000,Pending
STU0000266,Student 266,25000,Pending
STU0000267,Student 267,12000,Pending
STU0000268,Student 268,25000,Paid
STU0000269,Student 269,25000,Paid
STU0000270,Student 270,12000,Pending
STU0000271,Student 271,25000,Pending
STU0000272,Student 272,12000,Paid
STU0000273,Student 273,25000,Paid
STU0000274,Student 274,18000,Pending
STU0000275,Student 275,25000,Pending
STU0000276,Student 276,25000,Paid
STU0000277,Student 277,18000,Pending
STU0000278,Student 278,18000,Paid
STU0000279,Student 279,25000,Paid
STU0000280,Student 280,12000,Paid
STU0000281,Student 281,25000,Pending
STU0000282,Student 282,18000,Paid
STU0000283,Student 283,18000,Pending
STU0000284,Student 284,18000,Paid
STU0000285,Student 285,12000,Paid
STU0000286,Student 286,18000,Pending
STU0000287,Student 287,12000,Pending
STU0000288,Student 288,18000,Pending
STU0000289,Student 289,18000,Paid
STU0000290,Student 290,18000,Pending
STU0000291,Student 291,12000,Paid
STU0000292,Student 292,18000,Paid
STU0000293,Student 293,25000,Paid
STU0000294,Student 294,25000,Paid
STU0000295,Student 295,12000,Paid
STU0000296,Student 296,25000,Pending
STU0000297,Student 297,25000,Pending
STU0000298,Student 298,25000,Paid
STU0000299,Student 299,25000,Paid
STU0000300,Student 300,18000,Paid
STU0000301,Student 301,25000,Paid
STU0000302,Student 302,25000,Paid
STU0000303,Student 303,12000,Pending
STU0000304,Student 304,18000,Pending
STU0000305,Student 305,12000,Pending
STU0000306,Student 306,18000,Pending
STU0000307,Student 307,18000,Pending
STU0000308,Student 308,25000,Pending
STU0000309,Student 309,25000,Pending
STU0000310,Student 310,25000,Pending
STU0000311,Student 311,12000,Paid
STU0000312,Student 312,25000,Paid
STU0000313,Student 313,12000,Paid
STU0000314,Student 314,18000,Paid
STU0000315,Student 315,25000,Pending
STU0000316,Student 316,12000,Paid
STU0000317,Student 317,25000,Paid
STU0000318,Student 318,12000,Pending
STU0000319,Student 319,12000,Pending
STU0000320,Student 320,25000,Paid
STU0000321,Student 321,12000,Pending
STU0000322,Student 322,12000,Paid
STU0000323,Student 323,12000,Pending
STU0000324,Student 324,25000,Paid
STU0000325,Student 325,25000,Paid
STU0000326,Student 326,18000,Paid
STU0000327,Student 327,18000,Pending
STU0000328,Student 328,18000,Pending
STU0000329,Student 329,25000,Paid
STU0000330,Student 330,12000,Paid
STU0000331,Student 331,25000,Paid
STU0000332,Student 332,25000,Pending
STU0000333,Student 333,12000,Paid
STU0000334,Student 334,12000,Pending
STU0000335,Student 335,25000,Paid
STU0000336,Student 336,18000,Pending
STU0000337,Student 337,12000,Paid
STU0000338,Student 338,18000,Paid
STU0000339,Student 339,12000,Paid
STU0000340,Student 340,18000,Pending
STU0000341,Student 341,18000,Paid
STU0000342,Student 342,25000,Pending
STU0000343,Student 343,12000,Pending
STU0000344,Student 344,18000,Paid
STU0000345,Student 345,18000,Pending
STU0000346,Student 346,25000,Pending
STU0000347,Student 347,18000,Paid
STU0000348,Student 348,18000,Paid
STU0000349,Student 349,25000,Pending
STU0000350,Student 350,18000,Pending
STU0000351,Student 351,18000,Pending
STU0000352,Student 352,25000,Pending
STU0000353,Student 353,12000,Paid
STU0000354,Student 354,12000,Pending
STU0000355,Student 355,18000,Paid
STU0000356,Student 356,18000,Paid
STU0000357,Student 357,12000,Paid
STU0000358,Student 358,12000,Paid
STU0000359,Student 359,25000,Pending
STU0000360,Student 360,25000,Paid
STU0000361,Student 361,25000,Paid
STU0000362,Student 362,12000,Paid
STU0000363,Student 363,25000,Paid
STU0000364,Student 364,18000,Pending
STU0000365,Student 365,12000,Paid
STU0000366,Student 366,12000,Pending
STU0000367,Student 367,18000,Pending
STU0000368,Student 368,18000,Paid
STU0000369,Student 369,25000,Paid
STU0000370,Student 370,12000,Pending
STU0000371,Student 371,12000,Pending
STU0000372,Student 372,18000,Paid
STU0000373,Student 373,12000,Paid
STU0000374,Student 374,12000,Pending
STU0000375,Student 375,18000,Paid
STU0000376,Student 376,12000,Pending
STU0000377,Student 377,25000,Paid
STU0000378,Student 378,18000,Paid
STU0000379,Student 379,25000,Paid
STU0000380,Student 380,25000,Pending
STU0000381,Student 381,18000,Pending
STU0000382,Student 382,18000,Pending
STU0000383,Student 383,12000,Pending
STU0000384,Student 384,12000,Pending
STU0000385,Student 385,25000,Pending
STU0000386,Student 386,18000,Paid
STU0000387,Student 387,12000,Pending
STU0000388,Student 388,12000,Paid
STU0000389,Student 389,12000,Paid
STU0000390,Student 390,25000,Paid
STU0000391,Student 391,12000,Paid
STU0000392,Student 392,25000,Paid
STU0000393,Student 393,18000,Paid
STU0000394,Student 394,12000,Pending
STU0000395,Student 395,12000,Pending
STU0000396,Student 396,18000,Pending
STU0000397,Student 397,18000,Paid
STU0000398,Student 398,18000,Pending
STU0000399,Student 399,25000,Pending
STU0000400,Student 400,12000,Pending
STU0000401,Student 401,12000,Pending
STU0000402,Student 402,12000,Pending
STU0000403,Student 403,25000,Pending
STU0000404,Student 404,25000,Pending
STU0000405,Student 405,12000,Pending
STU0000406,Student 406,25000,Pending
STU0000407,Student 407,12000,Pending
STU0000408,Student 408,18000,Pending
STU0000409,Student 409,12000,Pending
STU0000410,Student 410,25000,Pending
STU0000411,Student 411,18000,Pending
STU0000412,Student 412,12000,Pending
STU0000413,Student 413,18000,Paid
STU0000414,Student 414,12000,Paid
STU0000415,Student 415,25000,Paid
STU0000416,Student 416,18000,Paid
STU0000417,Student 417,25000,Paid
STU0000418,Student 418,18000,Paid
STU0000419,Student 419,25000,Paid
STU0000420,Student 420,25000,Paid
STU0000421,Student 421,18000,Pending
STU0000422,Student 422,25000,Pending
STU0000423,Student 423,18000,Paid
STU0000424,Student 424,12000,Paid
STU0000425,Student 425,18000,Paid
STU0000426,Student 426,18000,Pending
STU0000427,Student 427,12000,Pending
STU0000428,Student 428,12000,Paid
STU0000429,Student 429,12000,Paid
STU0000430,Student 430,12000,Paid
STU0000431,Student 431,25000,Paid
STU0000432,Student 432,12000,Paid
STU0000433,Student 433,18000,Paid
STU0000434,Student 434,12000,Pending
STU0000435,Student 435,25000,Pending
STU0000436,Student 436,25000,Paid
STU0000437,Student 437,18000,Paid
STU0000438,Student 438,25000,Paid
STU0000439,Student 439,12000,Paid
STU0000440,Student 440,25000,Paid
STU0000441,Student 441,12000,Paid
STU0000442,Student 442,18000,Paid
STU0000443,Student 443,12000,Pending
STU0000444,Student 444,18000,Paid
STU0000445,Student 445,25000,Paid
STU0000446,Student 446,25000,Pending
STU0000447,Student 447,25000,Pending
STU0000448,Student 448,18000,Pending
STU0000449,Student 449,12000,Pending
STU0000450,Student 450,25000,Pending
STU0000451,Student 451,18000,Paid
STU0000452,Student 452,12000,Paid
STU0000453,Student 453,18000,Pending
STU0000454,Student 454,25000,Paid
STU0000455,Student 455,18000,Pending
STU0000456,Student 456,12000,Pending
STU0000457,Student 457,12000,Pending
STU0000458,Student 458,18000,Paid
STU0000459,Student 459,25000,Paid
STU0000460,Student 460,12000,Pending
STU0000461,Student 461,12000,Pending
STU0000462,Student 462,12000,Pending
STU0000463,Student 463,18000,Paid
STU0000464,Student 464,18000,Paid
STU0000465,Student 465,18000,Paid
STU0000466,Student 466,25000,Paid
STU0000467,Student 467,25000,Paid
STU0000468,Student 468,25000,Pending
STU0000469,Student 469,25000,Pending
STU0000470,Student 470,18000,Paid
STU0000471,Student 471,25000,Pending
STU0000472,Student 472,18000,Pending
STU0000473,Student 473,18000,Paid
STU0000474,Student 474,18000,Paid
STU0000475,Student 475,12000,Paid
STU0000476,Student 476,12000,Paid
STU0000477,Student 477,18000,Paid
STU0000478,Student 478,25000,Pending
STU0000479,Student 479,12000,Paid
STU0000480,Student 480,25000,Paid
STU0000481,Student 481,18000,Pending
STU0000482,Student 482,18000,Paid
STU0000483,Student 483,18000,Pending
STU0000484,Student 484,25000,Paid
STU0000485,Student 485,25000,Pending
STU0000486,Student 486,12000,Paid
STU0000487,Student 487,18000,Pending
STU0000488,Student 488,18000,Pending
STU0000489,Student 489,12000,Paid
STU0000490,Student 490,12000,Pending
STU0000491,Student 491,25000,Pending
STU0000492,Student 492,18000,Pending
STU0000493,Student 493,12000,Pending
STU0000494,Student 494,18000,Pending
STU0000495,Student 495,18000,Paid
STU0000496,Student 496,18000,Pending
STU0000497,Student 497,18000,Paid
STU0000498,Student 498,18000,Pending
STU0000499,Student 499,18000,Pending
STU0000500,Student 500,25000,Paid
STU0000501,Student 501,25000,Paid
STU0000502,Student 502,12000,Paid
STU0000503,Student 503,25000,Paid
STU0000504,Student 504,25000,Paid
STU0000505,Student 505,12000,Paid
STU0000506,Student 506,12000,Paid
STU0000507,Student 507,18000,Pending
STU0000508,Student 508,18000,Paid
STU0000509,Student 509,18000,Paid
STU0000510,Student 510,12000,Paid
STU0000511,Student 511,18000,Pending
STU0000512,Student 512,18000,Paid
STU0000513,Student 513,25000,Paid
STU0000514,Student 514,18000,Pending
STU0000515,Student 515,18000,Paid
STU0000516,Student 516,25000,Pending
STU0000517,Student 517,18000,Pending
STU0000518,Student 518,18000,Paid
STU0000519,Student 519,12000,Pending
STU0000520,Student 520,12000,Paid
STU0000521,Student 521,25000,Paid
STU0000522,Student 522,12000,Pending
STU0000523,Student 523,25000,Pending
STU0000524,Student 524,25000,Paid
STU0000525,Student 525,18000,Paid
STU0000526,Student 526,12000,Paid
STU0000527,Student 527,12000,Pending
STU0000528,Student 528,25000,Paid
STU0000529,Student 529,18000,Pending
STU0000530,Student 530,25000,Pending
STU0000531,Student 531,18000,Paid
STU0000532,Student 532,18000,Paid
STU0000533,Student 533,12000,Paid
STU0000534,Student 534,25000,Paid
STU0000535,Student 535,18000,Pending
STU0000536,Student 536,18000,Pending
STU0000537,Student 537,18000,Pending
STU0000538,Student 538,18000,Pending
STU0000539,Student 539,25000,Paid
STU0000540,Student 540,25000,Pending
STU0000541,Student 541,12000,Paid
STU0000542,Student 542,18000,Pending
STU0000543,Student 543,12000,Pending
STU0000544,Student 544,25000,Pending
STU0000545,Student 545,12000,Pending
STU0000546,Student 546,25000,Paid
STU0000547,Student 547,18000,Paid
STU0000548,Student 548,18000,Pending
STU0000549,Student 549,12000,Pending
STU0000550,Student 550,25000,Paid
STU0000551,Student 551,18000,Paid
STU0000552,Student 552,25000,Pending
STU0000553,Student 553,25000,Pending
STU0000554,Student 554,12000,Pending
STU0000555,Student 555,18000,Paid
STU0000556,Student 556,25000,Pending
STU0000557,Student 557,18000,Pending
STU0000558,Student 558,12000,Pending
STU0000559,Student 559,12000,Paid
STU0000560,Student 560,18000,Pending
STU0000561,Student 561,25000,Pending
STU0000562,Student 562,25000,Pending
STU0000563,Student 563,12000,Paid
STU0000564,Student 564,18000,Pending
STU0000565,Student 565,18000,Paid
STU0000566,Student 566,18000,Paid
STU0000567,Student 567,12000,Paid
STU0000568,Student 568,25000,Paid
STU0000569,Student 569,25000,Paid
STU0000570,Student 570,25000,Paid
STU0000571,Student 571,18000,Paid
STU0000572,Student 572,18000,Pending
STU0000573,Student 573,18000,Pending
STU0000574,Student 574,18000,Pending
STU0000575,Student 575,25000,Paid
STU0000576,Student 576,12000,Paid
STU0000577,Student 577,18000,Paid
STU0000578,Student 578,12000,Paid
STU0000579,Student 579,25000,Paid
STU0000580,Student 580,25000,Pending
STU0000581,Student 581,25000,Pending
STU0000582,Student 582,25000,Paid
STU0000583,Student 583,12000,Pending
STU0000584,Student 584,12000,Paid
STU0000585,Student 585,25000,Paid
STU0000586,Student 586,18000,Paid
STU0000587,Student 587,25000,Paid
STU0000588,Student 588,12000,Paid
STU0000589,Student 589,25000,Paid
STU0000590,Student 590,25000,Paid
STU0000591,Student 591,18000,Paid
STU0000592,Student 592,18000,Pending
STU0000593,Student 593,12000,Paid
STU0000594,Student 594,18000,Paid
STU0000595,Student 595,12000,Paid
STU0000596,Student 596,12000,Pending
STU0000597,Student 597,12000,Pending
STU0000598,Student 598,18000,Paid
STU0000599,Student 599,12000,Paid
STU0000600,Student 600,18000,Paid
STU0000601,Student 601,18000,Paid
STU0000602,Student 602,12000,Pending
STU0000603,Student 603,25000,Pending
STU0000604,Student 604,12000,Pending
STU0000605,Student 605,18000,Paid
STU0000606,Student 606,25000,Pending
STU0000607,Student 607,25000,Pending
STU0000608,Student 608,25000,Pending
STU0000609,Student 609,18000,Pending
STU0000610,Student 610,18000,Paid
STU0000611,Student 611,25000,Pending
STU0000612,Student 612,18000,Paid
STU0000613,Student 613,25000,Pending
STU0000614,Student 614,25000,Paid
STU0000615,Student 615,18000,Paid
STU0000616,Student 616,18000,Pending
STU0000617,Student 617,12000,Paid
STU0000618,Student 618,12000,Paid
STU0000619,Student 619,18000,Paid
STU0000620,Student 620,12000,Paid
STU0000621,Student 621,12000,Paid
STU0000622,Student 622,18000,Pending
STU0000623,Student 623,25000,Pending
STU0000624,Student 624,12000,Pending
STU0000625,Student 625,25000,Pending
STU0000626,Student 626,18000,Paid
STU0000627,Student 627,25000,Paid
STU0000628,Student 628,18000,Pending
STU0000629,Student 629,25000,Pending
STU0000630,Student 630,25000,Pending
STU0000631,Student 631,25000,Pending
STU0000632,Student 632,25000,Pending
STU0000633,Student 633,25000,Pending
STU0000634,Student 634,18000,Pending
STU0000635,Student 635,18000,Paid
STU0000636,Student 636,12000,Paid
STU0000637,Student 637,25000,Pending
STU0000638,Student 638,25000,Paid
STU0000639,Student 639,18000,Pending
STU0000640,Student 640,18000,Pending
STU0000641,Student 641,12000,Pending
STU0000642,Student 642,18000,Paid
STU0000643,Student 643,25000,Pending
STU0000644,Student 644,25000,Paid
STU0000645,Student 645,12000,Pending
STU0000646,Student 646,18000,Pending
STU0000647,Student 647,12000,Paid
STU0000648,Student 648,18000,Pending
STU0000649,Student 649,12000,Paid
STU0000650,Student 650,18000,Paid
STU0000651,Student 651,12000,Pending
STU0000652,Student 652,12000,Pending
STU0000653,Student 653,25000,Pending
STU0000654,Student 654,25000,Pending
STU0000655,Student 655,12000,Pending
STU0000656,Student 656,18000,Pending
STU0000657,Student 657,18000,Pending
STU0000658,Student 658,18000,Paid
STU0000659,Student 659,25000,Pending
STU0000660,Student 660,12000,Pending
STU0000661,Student 661,12000,Paid
STU0000662,Student 662,18000,Paid
STU0000663,Student 663,25000,Paid
STU0000664,Student 664,12000,Paid
STU0000665,Student 665,12000,Pending
STU0000666,Student 666,18000,Pending
STU0000667,Student 667,12000,Paid
STU0000668,Student 668,12000,Pending
STU0000669,Student 669,25000,Pending
STU0000670,Student 670,25000,Pending
STU0000671,Student 671,25000,Paid
STU0000672,Student 672,18000,Pending
STU0000673,Student 673,25000,Paid
STU0000674,Student 674,25000,Pending
STU0000675,Student 675,12000,Pending
STU0000676,Student 676,12000,Pending
STU0000677,Student 677,18000,Paid
STU0000678,Student 678,12000,Paid
STU0000679,Student 679,25000,Paid
STU0000680,Student 680,18000,Paid
STU0000681,Student 681,18000,Pending
STU0000682,Student 682,12000,Pending
STU0000683,Student 683,12000,Pending
STU0000684,Student 684,18000,Paid
STU0000685,Student 685,18000,Paid
STU0000686,Student 686,25000,Pending
STU0000687,Student 687,25000,Pending
STU0000688,Student 688,18000,Pending
STU0000689,Student 689,12000,Paid
STU0000690,Student 690,12000,Pending
STU0000691,Student 691,25000,Pending
STU0000692,Student 692,12000,Paid
STU0000693,Student 693,18000,Pending
STU0000694,Student 694,18000,Paid
STU0000695,Student 695,25000,Pending
STU0000696,Student 696,25000,Pending
STU0000697,Student 697,25000,Paid
STU0000698,Student 698,18000,Paid
STU0000699,Student 699,25000,Pending
STU0000700,Student 700,12000,Paid
STU0000701,Student 701,25000,Paid
STU0000702,Student 702,25000,Paid
STU0000703,Student 703,25000,Paid
STU0000704,Student 704,12000,Paid
STU0000705,Student 705,18000,Pending
STU0000706,Student 706,18000,Pending
STU0000707,Student 707,18000,Paid
STU0000708,Student 708,12000,Pending
STU0000709,Student 709,18000,Paid
STU0000710,Student 710,25000,Pending
STU0000711,Student 711,25000,Pending
STU0000712,Student 712,18000,Paid
STU0000713,Student 713,18000,Paid
STU0000714,Student 714,25000,Pending
STU0000715,Student 715,18000,Paid
STU0000716,Student 716,18000,Paid
STU0000717,Student 717,12000,Paid
STU0000718,Student 718,18000,Paid
STU0000719,Student 719,25000,Pending
STU0000720,Student 720,12000,Pending
STU0000721,Student 721,12000,Paid
STU0000722,Student 722,18000,Pending
STU0000723,Student 723,12000,Pending
STU0000724,Student 724,25000,Paid
STU0000725,Student 725,12000,Pending
STU0000726,Student 726,18000,Pending
STU0000727,Student 727,12000,Paid
STU0000728,Student 728,18000,Pending
STU0000729,Student 729,18000,Pending
STU0000730,Student 730,12000,Pending
STU0000731,Student 731,25000,Paid
STU0000732,Student 732,12000,Paid
STU0000733,Student 733,18000,Pending
STU0000734,Student 734,12000,Paid
STU0000735,Student 735,12000,Pending
STU0000736,Student 736,25000,Paid
STU0000737,Student 737,12000,Pending
STU0000738,Student 738,25000,Paid
STU0000739,Student 739,12000,Pending
STU0000740,Student 740,25000,Pending
STU0000741,Student 741,25000,Paid
STU0000742,Student 742,25000,Pending
STU0000743,Student 743,18000,Pending
STU0000744,Student 744,12000,Paid
STU0000745,Student 745,25000,Pending
STU0000746,Student 746,18000,Paid
STU0000747,Student 747,25000,Paid
STU0000748,Student 748,18000,Pending
STU0000749,Student 749,25000,Pending
STU0000750,Student 750,12000,Pending
STU0000751,Student 751,25000,Pending
STU0000752,Student 752,18000,Pending
STU0000753,Student 753,25000,Pending
STU0000754,Student 754,12000,Paid
STU0000755,Student 755,25000,Pending
STU0000756,Student 756,18000,Paid
STU0000757,Student 757,25000,Pending
STU0000758,Student 758,12000,Pending
STU0000759,Student 759,25000,Paid
STU0000760,Student 760,18000,Pending
STU0000761,Student 761,25000,Paid
STU0000762,Student 762,18000,Pending
STU0000763,Student 763,18000,Paid
STU0000764,Student 764,25000,Pending
STU0000765,Student 765,25000,Paid
STU0000766,Student 766,25000,Paid
STU0000767,Student 767,25000,Pending
STU0000768,Student 768,25000,Pending
STU0000769,Student 769,25000,Pending
STU0000770,Student 770,18000,Pending
STU0000771,Student 771,12000,Pending
STU0000772,Student 772,25000,Pending
STU0000773,Student 773,18000,Pending
STU0000774,Student 774,18000,Paid
STU0000775,Student 775,12000,Pending
