Student ID,Student Name,Class,Section,Department,Fee Category,Amount Due,Amount Paid,Balance,Payment Status,Payment Mode,Due Date,Payment Date,Academic Year,Guardian Email,Remarks
STU0000080,Student 80,1,B,Pre-Primary,Tuition,12000,0,12000,Pending,Cash,2026-03-22,2026-08-20,2025-2026,guardian80@example.com,"Fee record for term 3"
STU0000081,Student 81,3,C,Secondary,Transport,12000,12000,0,Paid,Card,2026-08-11,2026-05-22,2025-2026,guardian81@example.com,"Fee record for term 2"
STU0000082,Student 82,3,A,Primary,Tuition,18000,0,18000,Overdue,UPI,2026-02-21,2026-07-13,2025-2026,guardian82@example.com,"Fee record for term 3"
STU0000083,Student 83,6,C,Arts,Activity,15000,0,15000,Overdue,NEFT,2026-02-11,2026-08-16,2025-2026,guardian83@example.com,"Fee record for term 2"
STU0000084,Student 84,4,C,Senior,Lab,25000,0,25000,Overdue,NEFT,2026-01-23,2026-04-22,2025-2026,guardian84@example.com,"Fee record for term 1"
STU0000085,Student 85,8,A,Arts,Tuition,22000,22000,0,Paid,UPI,2026-04-12,2026-06-21,2025-2026,guardian85@example.com,"Fee record for term 2"
STU0000086,Student 86,1,C,Science,Lab,18000,0,18000,Waived,UPI,2026-05-19,2026-01-12,2025-2026,guardian86@example.com,"Fee record for term 1"
STU0000087,Student 87,8,D,Arts,Exam,15000,15000,0,Paid,UPI,2026-07-25,2026-03-25,2025-2026,guardian87@example.com,"Fee record for term 1"
STU0000088,Student 88,3,B,Senior,Activity,12000,9000,3000,Partial,UPI,2026-08-21,2026-02-26,2025-2026,guardian88@example.com,"Fee record for term 1"
STU0000089,Student 89,4,D,Primary,Lab,22000,0,22000,Pending,Cash,2026-08-27,2026-09-20,2025-2026,guardian89@example.com,"Fee record for term 1"
STU0000090,Student 90,2,C,Commerce,Tuition,22000,22000,0,Paid,Cheque,2026-02-23,2026-08-24,2025-2026,guardian90@example.com,"Fee record for term 1"
STU0000091,Student 91,7,D,Commerce,Lab,15000,0,15000,Pending,Cheque,2026-09-13,2026-05-19,2025-2026,guardian91@example.com,"Fee record for term 2"
STU0000092,Student 92,5,C,Secondary,Exam,25000,12500,12500,Partial,Cheque,2026-03-17,2026-04-14,2025-2026,guardian92@example.com,"Fee record for term 2"
STU0000093,Student 93,6,A,Pre-Primary,Hostel,25000,0,25000,Pending,Cheque,2026-09-26,2026-04-13,2025-2026,guardian93@example.com,"Fee record for term 3"
STU0000094,Student 94,2,A,Pre-Primary,Activity,22000,22000,0,Paid,Cheque,2026-08-21,2026-01-19,2025-2026,guardian94@example.com,"Fee record for term 1"
STU0000095,Student 95,4,B,Primary,Hostel,12000,12000,0,Paid,Card,2026-03-24,2026-05-10,2025-2026,guardian95@example.com,"Fee record for term 1"
STU0000096,Student 96,12,C,Secondary,Tuition,30000,0,30000,Waived,UPI,2026-06-14,2026-01-16,2025-2026,guardian96@example.com,"Fee record for term 2"
STU0000097,Student 97,12,B,Arts,Tuition,12000,0,12000,Waived,UPI,2026-07-21,2026-03-19,2025-2026,guardian97@example.com,"Fee record for term 1"
STU0000098,Student 98,8,D,Primary,Exam,15000,15000,0,Paid,Cash,2026-07-27,2026-03-27,2025-2026,guardian98@example.com,"Fee record for term 1"
STU0000099,Student 99,7,C,Pre-Primary,Hostel,30000,0,30000,Pending,UPI,2026-07-11,2026-05-28,2025-2026,guardian99@example.com,"Fee record for term 2"
STU0000100,Student 100,1,C,Science,Transport,22000,0,22000,Overdue,NEFT,2026-07-16,2026-01-23,2025-2026,guardian100@example.com,"Fee record for term 1"
STU0000101,Student 101,2,D,Commerce,Hostel,22000,22000,0,Paid,NEFT,2026-03-14,2026-01-11,2025-2026,guardian101@example.com,"Fee record for term 3"
STU0000102,Student 102,2,C,Science,Library,15000,0,15000,Overdue,Cheque,2026-03-21,2026-05-15,2025-2026,guardian102@example.com,"Fee record for term 3"
STU0000103,Student 103,2,D,Pre-Primary,Activity,15000,15000,0,Paid,Cheque,2026-05-14,2026-01-25,2025-2026,guardian103@example.com,"Fee record for term 2"
STU0000104,Student 104,11,D,Primary,Lab,12000,0,12000,Waived,Card,2026-03-17,2026-07-16,2025-2026,guardian104@example.com,"Fee record for term 2"
STU0000105,Student 105,4,A,Pre-Primary,Library,15000,0,15000,Waived,Cheque,2026-07-21,2026-02-14,2025-2026,guardian105@example.com,"Fee record for term 1"
STU0000106,Student 106,1,A,Science,Activity,30000,0,30000,Pending,UPI,2026-02-22,2026-08-27,2025-2026,guardian106@example.com,"Fee record for term 3"
STU0000107,Student 107,5,B,Pre-Primary,Exam,18000,0,18000,Overdue,UPI,2026-08-26,2026-08-15,2025-2026,guardian107@example.com,"Fee record for term 1"
STU0000108,Student 108,8,D,Secondary,Exam,12000,0,12000,Waived,Card,2026-08-15,2026-08-22,2025-2026,guardian108@example.com,"Fee record for term 1"
STU0000109,Student 109,6,D,Senior,Tuition,12000,0,12000,Pending,NEFT,2026-09-26,2026-01-11,2025-2026,guardian109@example.com,"Fee record for term 3"
STU0000110,Student 110,12,C,Arts,Lab,15000,15000,0,Paid,Card,2026-02-11,2026-09-22,2025-2026,guardian110@example.com,"Fee record for term 3"
STU0000111,Student 111,2,A,Secondary,Transport,15000,15000,0,Paid,NEFT,2026-05-15,2026-04-12,2025-2026,guardian111@example.com,"Fee record for term 2"
STU0000112,Student 112,6,C,Arts,Exam,25000,6250,18750,Partial,Cheque,2026-05-26,2026-08-16,2025-2026,guardian112@example.com,"Fee record for term 3"
STU0000113,Student 113,9,B,Senior,Hostel,18000,0,18000,Waived,Cash,2026-04-15,2026-07-15,2025-2026,guardian113@example.com,"Fee record for term 3"
STU0000114,Student 114,3,C,Primary,Activity,18000,9000,9000,Partial,Card,2026-01-21,2026-08-27,2025-2026,guardian114@example.com,"Fee record for term 3"
STU0000115,Student 115,5,D,Science,Activity,25000,25000,0,Paid,UPI,2026-05-22,2026-06-28,2025-2026,guardian115@example.com,"Fee record for term 1"
STU0000116,Student 116,8,B,Secondary,Library,18000,4500,13500,Partial,Cash,2026-05-26,2026-05-19,2025-2026,guardian116@example.com,"Fee record for term 3"
STU0000117,Student 117,1,A,Secondary,Transport,25000,18750,6250,Partial,UPI,2026-07-23,2026-09-21,2025-2026,guardian117@example.com,"Fee record for term 1"
STU0000118,Student 118,4,A,Primary,Tuition,15000,0,15000,Overdue,Cash,2026-06-19,2026-02-26,2025-2026,guardian118@example.com,"Fee record for term 2"
STU0000119,Student 119,7,C,Commerce,Transport,25000,0,25000,Pending,Cheque,2026-06-25,2026-03-14,2025-2026,guardian119@example.com,"Fee record for term 1"
STU0000120,Student 120,8,A,Primary,Lab,15000,0,15000,Pending,Cheque,2026-05-22,2026-05-10,2025-2026,guardian120@example.com,"Fee record for term 1"
STU0000121,Student 121,6,D,Commerce,Library,30000,0,30000,Waived,NEFT,2026-04-15,2026-01-11,2025-2026,guardian121@example.com,"Fee record for term 1"
STU0000122,Student 122,7,B,Secondary,Transport,25000,25000,0,Paid,Cash,2026-02-10,2026-09-16,2025-2026,guardian122@example.com,"Fee record for term 1"
STU0000123,Student 123,9,D,Arts,Library,22000,0,22000,Pending,Cheque,2026-09-19,2026-02-19,2025-2026,guardian123@example.com,"Fee record for term 3"
STU0000124,Student 124,12,A,Pre-Primary,Activity,12000,0,12000,Overdue,NEFT,2026-08-12,2026-08-15,2025-2026,guardian124@example.com,"Fee record for term 1"
STU0000125,Student 125,11,A,Primary,Hostel,12000,3000,9000,Partial,UPI,2026-01-18,2026-09-23,2025-2026,guardian125@example.com,"Fee record for term 3"
STU0000126,Student 126,11,B,Primary,Library,25000,12500,12500,Partial,Cash,2026-03-18,2026-04-16,2025-2026,guardian126@example.com,"Fee record for term 1"
STU0000127,Student 127,7,C,Commerce,Transport,30000,7500,22500,Partial,NEFT,2026-09-25,2026-08-26,2025-2026,guardian127@example.com,"Fee record for term 3"
STU0000128,Student 128,7,B,Commerce,Hostel,12000,12000,0,Paid,Cheque,2026-07-28,2026-02-28,2025-2026,guardian128@example.com,"Fee record for term 1"
STU0000129,Student 129,1,A,Primary,Library,15000,15000,0,Paid,Cheque,2026-06-14,2026-01-10,2025-2026,guardian129@example.com,"Fee record for term 1"
STU0000130,Student 130,12,A,Science,Tuition,15000,15000,0,Paid,Cash,2026-06-16,2026-09-12,2025-2026,guardian130@example.com,"Fee record for term 3"
STU0000131,Student 131,4,B,Secondary,Tuition,22000,22000,0,Paid,Cash,2026-01-12,2026-05-25,2025-2026,guardian131@example.com,"Fee record for term 1"
STU0000132,Student 132,11,B,Senior,Hostel,15000,15000,0,Paid,UPI,2026-07-18,2026-01-21,2025-2026,guardian132@example.com,"Fee record for term 2"
STU0000133,Student 133,12,C,Senior,Activity,18000,18000,0,Paid,Card,2026-09-25,2026-05-10,2025-2026,guardian133@example.com,"Fee record for term 2"
STU0000134,Student 134,9,A,Senior,Exam,12000,0,12000,Overdue,Cash,2026-09-28,2026-04-12,2025-2026,guardian134@example.com,"Fee record for term 3"
STU0000135,Student 135,7,A,Commerce,Transport,18000,0,18000,Pending,UPI,2026-01-10,2026-06-25,2025-2026,guardian135@example.com,"Fee record for term 1"
STU0000136,Student 136,8,C,Arts,Library,22000,0,22000,Pending,UPI,2026-03-19,2026-04-17,2025-2026,guardian136@example.com,"Fee record for term 2"
STU0000137,Student 137,11,A,Pre-Primary,Activity,15000,15000,0,Paid,Card,2026-02-20,2026-06-13,2025-2026,guardian137@example.com,"Fee record for term 2"
STU0000138,Student 138,7,A,Senior,Transport,22000,22000,0,Paid,UPI,2026-05-23,2026-09-26,2025-2026,guardian138@example.com,"Fee record for term 1"
STU0000139,Student 139,8,B,Commerce,Library,22000,0,22000,Pending,Card,2026-01-21,2026-06-26,2025-2026,guardian139@example.com,"Fee record for term 1"
STU0000140,Student 140,12,C,Secondary,Exam,22000,0,22000,Waived,NEFT,2026-05-28,2026-04-14,2025-2026,guardian140@example.com,"Fee record for term 2"
STU0000141,Student 141,9,B,Senior,Hostel,22000,0,22000,Pending,Card,2026-03-14,2026-04-20,2025-2026,guardian141@example.com,"Fee record for term 3"
STU0000142,Student 142,4,C,Secondary,Hostel,25000,6250,18750,Partial,Cash,2026-03-13,2026-04-22,2025-2026,guardian142@example.com,"Fee record for term 1"
STU0000143,Student 143,5,D,Senior,Transport,15000,11250,3750,Partial,Cash,2026-02-18,2026-04-22,2025-2026,guardian143@example.com,"Fee record for term 2"
STU0000144,Student 144,7,D,Science,Transport,12000,12000,0,Paid,Card,2026-05-24,2026-01-14,2025-2026,guardian144@example.com,"Fee record for term 2"
STU0000145,Student 145,1,B,Arts,Exam,25000,0,25000,Overdue,Card,2026-07-17,2026-04-15,2025-2026,guardian145@example.com,"Fee record for term 3"
STU0000146,Student 146,7,C,Senior,Lab,12000,0,12000,Overdue,Cash,2026-07-17,2026-07-15,2025-2026,guardian146@example.com,"Fee record for term 2"
STU0000147,Student 147,8,A,Commerce,Activity,22000,0,22000,Overdue,NEFT,2026-09-15,2026-06-10,2025-2026,guardian147@example.com,"Fee record for term 2"
STU0000148,Student 148,1,C,Commerce,Transport,22000,22000,0,Paid,Cheque,2026-04-26,2026-06-13,2025-2026,guardian148@example.com,"Fee record for term 3"
STU0000149,Student 149,4,D,Commerce,Tuition,22000,0,22000,Waived,UPI,2026-09-20,2026-07-24,2025-2026,guardian149@example.com,"Fee record for term 1"
STU0000150,Student 150,7,A,Science,Library,30000,0,30000,Pending,UPI,2026-01-18,2026-05-22,2025-2026,guardian150@example.com,"Fee record for term 2"
STU0000151,Student 151,2,D,Pre-Primary,Lab,12000,12000,0,Paid,UPI,2026-05-13,2026-04-19,2025-2026,guardian151@example.com,"Fee record for term 3"
STU0000152,Student 152,4,D,Pre-Primary,Transport,22000,0,22000,Waived,Cheque,2026-03-12,2026-04-25,2025-2026,guardian152@example.com,"Fee record for term 3"
STU0000153,Student 153,3,C,Science,Lab,25000,0,25000,Pending,NEFT,2026-08-19,2026-09-14,2025-2026,guardian153@example.com,"Fee record for term 2"
STU0000154,Student 154,5,D,Science,Hostel,18000,0,18000,Pending,NEFT,2026-03-25,2026-01-18,2025-2026,guardian154@example.com,"Fee record for term 2"
STU0000155,Student 155,8,D,Pre-Primary,Library,15000,7500,7500,Partial,Cash,2026-06-14,2026-05-22,2025-2026,guardian155@example.com,"Fee record for term 1"
STU0000156,Student 156,6,B,Commerce,Activity,12000,0,12000,Waived,UPI,2026-01-10,2026-04-12,2025-2026,guardian156@example.com,"Fee record for term 3"
STU0000157,Student 157,2,B,Arts,Transport,18000,13500,4500,Partial,Cheque,2026-08-21,2026-03-16,2025-2026,guardian157@example.com,"Fee record for term 2"
STU0000158,Student 158,10,A,Science,Library,25000,0,25000,Pending,UPI,2026-04-25,2026-04-26,2025-2026,guardian158@example.com,"Fee record for term 1"
STU0000159,Student 159,11,A,Commerce,Tuition,30000,0,30000,Overdue,UPI,2026-07-17,2026-03-25,2025-2026,guardian159@example.com,"Fee record for term 2"
STU0000160,Student 160,8,D,Secondary,Lab,25000,25000,0,Paid,NEFT,2026-04-25,2026-03-27,2025-2026,guardian160@example.com,"Fee record for term 3"
STU0000161,Student 161,3,C,Pre-Primary,Lab,30000,30000,0,Paid,Card,2026-08-19,2026-08-21,2025-2026,guardian161@example.com,"Fee record for term 2"
STU0000162,Student 162,3,C,Science,Lab,22000,22000,0,Paid,Cash,2026-01-11,2026-06-13,2025-2026,guardian162@example.com,"Fee record for term 3"
STU0000163,Student 163,3,A,Secondary,Lab,22000,0,22000,Overdue,NEFT,2026-03-20,2026-02-21,2025-2026,guardian163@example.com,"Fee record for term 2"
STU0000164,Student 164,9,B,Senior,Exam,22000,0,22000,Waived,UPI,2026-07-18,2026-09-11,2025-2026,guardian164@example.com,"Fee record for term 2"
STU0000165,Student 165,7,C,Commerce,Hostel,18000,9000,9000,Partial,Card,2026-06-16,2026-08-13,2025-2026,guardian165@example.com,"Fee record for term 2"
STU0000166,Student 166,5,B,Commerce,Lab,15000,11250,3750,Partial,Cash,2026-01-22,2026-09-22,2025-2026,guardian166@example.com,"Fee record for term 3"
STU0000167,Student 167,7,C,Primary,Tuition,25000,25000,0,Paid,Cash,2026-04-25,2026-01-26,2025-2026,guardian167@example.com,"Fee record for term 3"
STU0000168,Student 168,10,B,Science,Lab,25000,0,25000,Overdue,Card,2026-02-16,2026-01-24,2025-2026,guardian168@example.com,"Fee record for term 3"
STU0000169,Student 169,11,B,Arts,Tuition,15000,15000,0,Paid,NEFT,2026-02-10,2026-06-14,2025-2026,guardian169@example.com,"Fee record for term 2"
STU0000170,Student 170,3,D,Primary,Hostel,25000,12500,12500,Partial,Cash,2026-07-28,2026-01-25,2025-2026,guardian170@example.com,"Fee record for term 3"
STU0000171,Student 171,2,D,Commerce,Lab,25000,25000,0,Paid,NEFT,2026-08-12,2026-01-22,2025-2026,guardian171@example.com,"Fee record for term 3"
