Student ID,Student Name,Department,Fee Category,Amount Due,Amount Paid,Payment Status,Due Date,Remarks
STU000075,Student 75,Science,Tuition,18000,9000,Partial,2026-08-15,Term 1 fee record
STU000076,Student 76,Primary,Tuition,18000,18000,Paid,2026-05-15,Term 2 fee record
STU000077,Student 77,Senior,Tuition,25000,25000,Paid,2026-06-15,Term 3 fee record
STU000078,Student 78,Secondary,Tuition,18000,18000,Paid,2026-07-15,Term 1 fee record
STU000079,Student 79,Primary,Tuition,18000,0,Pending,2026-05-15,Term 2 fee record
STU000080,Student 80,Primary,Tuition,12000,0,Pending,2026-02-15,Term 3 fee record
STU000081,Student 81,Science,Tuition,18000,18000,Paid,2026-06-15,Term 1 fee record
STU000082,Student 82,Secondary,Tuition,12000,0,Pending,2026-08-15,Term 2 fee record
STU000083,Student 83,Primary,Tuition,18000,0,Pending,2026-08-15,Term 3 fee record
STU000084,Student 84,Secondary,Tuition,25000,25000,Paid,2026-04-15,Term 1 fee record
STU000085,Student 85,Science,Tuition,18000,9000,Partial,2026-09-15,Term 2 fee record
STU000086,Student 86,Commerce,Tuition,25000,0,Pending,2026-04-15,Term 3 fee record
STU000087,Student 87,Commerce,Tuition,12000,0,Overdue,2026-03-15,Term 1 fee record
STU000088,Student 88,Secondary,Tuition,18000,0,Overdue,2026-01-15,Term 2 fee record
STU000089,Student 89,Commerce,Tuition,18000,9000,Partial,2026-06-15,Term 3 fee record
STU000090,Student 90,Primary,Tuition,25000,0,Pending,2026-02-15,Term 1 fee record
STU000091,Student 91,Commerce,Tuition,12000,0,Pending,2026-02-15,Term 2 fee record
STU000092,Student 92,Senior,Tuition,18000,9000,Partial,2026-01-15,Term 3 fee record
STU000093,Student 93,Primary,Tuition,18000,18000,Paid,2026-08-15,Term 1 fee record
STU000094,Student 94,Senior,Tuition,18000,0,Overdue,2026-08-15,Term 2 fee record
STU000095,Student 95,Primary,Tuition,12000,0,Pending,2026-07-15,Term 3 fee record
STU000096,Student 96,Science,Tuition,12000,0,Pending,2026-06-15,Term 1 fee record
STU000097,Student 97,Commerce,Tuition,25000,0,Pending,2026-03-15,Term 2 fee record
STU000098,Student 98,Commerce,Tuition,25000,0,Overdue,2026-02-15,Term 3 fee record
STU000099,Student 99,Science,Tuition,12000,0,Overdue,2026-09-15,Term 1 fee record
STU000100,Student 100,Science,Tuition,18000,0,Pending,2026-09-15,Term 2 fee record
STU000101,Student 101,Senior,Tuition,25000,12500,Partial,2026-07-15,Term 3 fee record
STU000102,Student 102,Senior,Tuition,25000,0,Pending,2026-03-15,Term 1 fee record
STU000103,Student 103,Science,Tuition,25000,12500,Partial,2026-08-15,Term 2 fee record
STU000104,Student 104,Science,Tuition,12000,0,Overdue,2026-02-15,Term 3 fee record
STU000105,Student 105,Science,Tuition,25000,25000,Paid,2026-07-15,Term 1 fee record
STU000106,Student 106,Science,Tuition,12000,12000,Paid,2026-07-15,Term 2 fee record
STU000107,Student 107,Commerce,Tuition,25000,25000,Paid,2026-02-15,Term 3 fee record
STU000108,Student 108,Primary,Tuition,25000,0,Pending,2026-09-15,Term 1 fee record
STU000109,Student 109,Commerce,Tuition,18000,0,Overdue,2026-05-15,Term 2 fee record
STU000110,Student 110,Commerce,Tuition,12000,0,Overdue,2026-03-15,Term 3 fee record
STU000111,Student 111,Commerce,Tuition,18000,0,Overdue,2026-09-15,Term 1 fee record
STU000112,Student 112,Secondary,Tuition,18000,18000,Paid,2026-07-15,Term 2 fee record
STU000113,Student 113,Senior,Tuition,25000,25000,Paid,2026-03-15,Term 3 fee record
STU000114,Student 114,Primary,Tuition,25000,25000,Paid,2026-04-15,Term 1 fee record
STU000115,Student 115,Primary,Tuition,12000,0,Pending,2026-05-15,Term 2 fee record
STU000116,Student 116,Secondary,Tuition,18000,9000,Partial,2026-08-15,Term 3 fee record
STU000117,Student 117,Science,Tuition,12000,0,Overdue,2026-02-15,Term 1 fee record
STU000118,Student 118,Secondary,Tuition,25000,12500,Partial,2026-09-15,Term 2 fee record
STU000119,Student 119,Commerce,Tuition,18000,18000,Paid,2026-07-15,Term 3 fee record
STU000120,Student 120,Science,Tuition,25000,0,Pending,2026-04-15,Term 1 fee record
STU000121,Student 121,Science,Tuition,25000,0,Pending,2026-04-15,Term 2 fee record
STU000122,Student 122,Secondary,Tuition,25000,0,Pending,2026-06-15,Term 3 fee record
STU000123,Student 123,Science,Tuition,12000,6000,Partial,2026-06-15,Term 1 fee record
STU000124,Student 124,Secondary,Tuition,12000,0,Pending,2026-02-15,Term 2 fee record
STU000125,Student 125,Secondary,Tuition,12000,0,Pending,2026-02-15,Term 3 fee record
STU000126,Student 126,Primary,Tuition,18000,0,Overdue,2026-07-15,Term 1 fee record
STU000127,Student 127,Secondary,Tuition,18000,0,Pending,2026-07-15,Term 2 fee record
STU000128,Student 128,Primary,Tuition,25000,25000,Paid,2026-04-15,Term 3 fee record
STU000129,Student 129,Senior,Tuition,25000,12500,Partial,2026-02-15,Term 1 fee record
STU000130,Student 130,Science,Tuition,25000,12500,Partial,2026-04-15,Term 2 fee record
STU000131,Student 131,Primary,Tuition,12000,0,Overdue,2026-01-15,Term 3 fee record
STU000132,Student 132,Secondary,Tuition,12000,0,Overdue,2026-04-15,Term 1 fee record
STU000133,Student 133,Secondary,Tuition,12000,12000,Paid,2026-03-15,Term 2 fee record
STU000134,Student 134,Primary,Tuition,12000,6000,Partial,2026-01-15,Term 3 fee record
STU000135,Student 135,Primary,Tuition,12000,0,Overdue,2026-02-15,Term 1 fee record
STU000136,Student 136,Commerce,Tuition,18000,0,Overdue,2026-07-15,Term 2 fee record
STU000137,Student 137,Commerce,Tuition,25000,12500,Partial,2026-04-15,Term 3 fee record
STU000138,Student 138,Primary,Tuition,25000,12500,Partial,2026-01-15,Term 1 fee record
STU000139,Student 139,Commerce,Tuition,12000,0,Pending,2026-08-15,Term 2 fee record
STU000140,Student 140,Commerce,Tuition,18000,9000,Partial,2026-04-15,Term 3 fee record
STU000141,Student 141,Primary,Tuition,25000,0,Pending,2026-09-15,Term 1 fee record
STU000142,Student 142,Primary,Tuition,12000,6000,Partial,2026-07-15,Term 2 fee record
STU000143,Student 143,Science,Tuition,25000,0,Pending,2026-06-15,Term 3 fee record
STU000144,Student 144,Primary,Tuition,18000,9000,Partial,2026-03-15,Term 1 fee record
STU000145,Student 145,Senior,Tuition,18000,0,Pending,2026-09-15,Term 2 fee record
STU000146,Student 146,Commerce,Tuition,25000,12500,Partial,2026-03-15,Term 3 fee record
STU000147,Student 147,Secondary,Tuition,18000,0,Pending,2026-02-15,Term 1 fee record
STU000148,Student 148,Commerce,Tuition,18000,9000,Partial,2026-02-15,Term 2 fee record
STU000149,Student 149,Science,Tuition,12000,6000,Partial,2026-01-15,Term 3 fee record
STU000150,Student 150,Senior,Tuition,12000,6000,Partial,2026-06-15,Term 1 fee record
STU000151,Student 151,Science,Tuition,12000,0,Overdue,2026-03-15,Term 2 fee record
STU000152,Student 152,Commerce,Tuition,25000,25000,Paid,2026-09-15,Term 3 fee record
STU000153,Student 153,Primary,Tuition,18000,0,Pending,2026-07-15,Term 1 fee record
STU000154,Student 154,Primary,Tuition,25000,25000,Paid,2026-02-15,Term 2 fee record
STU000155,Student 155,Senior,Tuition,25000,0,Pending,2026-08-15,Term 3 fee record
STU000156,Student 156,Secondary,Tuition,18000,18000,Paid,2026-07-15,Term 1 fee record
STU000157,Student 157,Senior,Tuition,12000,12000,Paid,2026-05-15,Term 2 fee record
STU000158,Student 158,Science,Tuition,18000,9000,Partial,2026-09-15,Term 3 fee record
STU000159,Student 159,Science,Tuition,25000,0,Overdue,2026-02-15,Term 1 fee record
STU000160,Student 160,Primary,Tuition,25000,0,Overdue,2026-09-15,Term 2 fee record
STU000161,Student 161,Commerce,Tuition,25000,25000,Paid,2026-03-15,Term 3 fee record
STU000162,Student 162,Secondary,Tuition,18000,0,Overdue,2026-08-15,Term 1 fee record
STU000163,Student 163,Commerce,Tuition,25000,25000,Paid,2026-08-15,Term 2 fee record
STU000164,Student 164,Science,Tuition,18000,9000,Partial,2026-07-15,Term 3 fee record
STU000165,Student 165,Senior,Tuition,25000,12500,Partial,2026-09-15,Term 1 fee record
STU000166,Student 166,Senior,Tuition,18000,0,Overdue,2026-09-15,Term 2 fee record
STU000167,Student 167,Primary,Tuition,18000,9000,Partial,2026-01-15,Term 3 fee record
STU000168,Student 168,Secondary,Tuition,12000,12000,Paid,2026-07-15,Term 1 fee record
STU000169,Student 169,Primary,Tuition,25000,0,Overdue,2026-06-15,Term 2 fee record
STU000170,Student 170,Primary,Tuition,25000,0,Overdue,2026-06-15,Term 3 fee record
STU000171,Student 171,Commerce,Tuition,12000,0,Pending,2026-08-15,Term 1 fee record
STU000172,Student 172,Primary,Tuition,18000,0,Pending,2026-09-15,Term 2 fee record
STU000173,Student 173,Secondary,Tuition,12000,0,Overdue,2026-04-15,Term 3 fee record
STU000174,Student 174,Primary,Tuition,25000,25000,Paid,2026-07-15,Term 1 fee record
STU000175,Student 175,Secondary,Tuition,18000,18000,Paid,2026-01-15,Term 2 fee record
STU000176,Student 176,Primary,Tuition,18000,0,Pending,2026-06-15,Term 3 fee record
STU000177,Student 177,Commerce,Tuition,18000,0,Pending,2026-08-15,Term 1 fee record
STU000178,Student 178,Science,Tuition,25000,12500,Partial,2026-07-15,Term 2 fee record
STU000179,Student 179,Senior,Tuition,18000,0,Pending,2026-03-15,Term 3 fee record
STU000180,Student 180,Primary,Tuition,12000,0,Overdue,2026-09-15,Term 1 fee record
STU000181,Student 181,Senior,Tuition,18000,9000,Partial,2026-05-15,Term 2 fee record
STU000182,Student 182,Senior,Tuition,25000,0,Pending,2026-04-15,Term 3 fee record
STU000183,Student 183,Science,Tuition,12000,0,Pending,2026-04-15,Term 1 fee record
STU000184,Student 184,Primary,Tuition,25000,25000,Paid,2026-01-15,Term 2 fee record
STU000185,Student 185,Commerce,Tuition,18000,9000,Partial,2026-01-15,Term 3 fee record
STU000186,Student 186,Primary,Tuition,25000,25000,Paid,2026-04-15,Term 1 fee record
STU000187,Student 187,Primary,Tuition,25000,12500,Partial,2026-02-15,Term 2 fee record
STU000188,Student 188,Science,Tuition,25000,0,Pending,2026-04-15,Term 3 fee record
STU000189,Student 189,Commerce,Tuition,25000,12500,Partial,2026-08-15,Term 1 fee record
STU000190,Student 190,Senior,Tuition,18000,0,Pending,2026-06-15,Term 2 fee record
STU000191,Student 191,Primary,Tuition,18000,0,Pending,2026-02-15,Term 3 fee record
STU000192,Student 192,Commerce,Tuition,18000,0,Pending,2026-07-15,Term 1 fee record
STU000193,Student 193,Commerce,Tuition,25000,12500,Partial,2026-03-15,Term 2 fee record
STU000194,Student 194,Science,Tuition,18000,0,Pending,2026-06-15,Term 3 fee record
STU000195,Student 195,Commerce,Tuition,18000,0,Pending,2026-06-15,Term 1 fee record
STU000196,Student 196,Commerce,Tuition,25000,25000,Paid,2026-06-15,Term 2 fee record
STU000197,Student 197,Commerce,Tuition,12000,12000,Paid,2026-08-15,Term 3 fee record
STU000198,Student 198,Senior,Tuition,25000,0,Overdue,2026-01-15,Term 1 fee record
STU000199,Student 199,Secondary,Tuition,12000,6000,Partial,2026-02-15,Term 2 fee record
STU000200,Student 200,Commerce,Tuition,25000,12500,Partial,2026-06-15,Term 3 fee record
STU000201,Student 201,Secondary,Tuition,18000,0,Pending,2026-06-15,Term 1 fee record
STU000202,Student 202,Senior,Tuition,25000,12500,Partial,2026-02-15,Term 2 fee record
STU000203,Student 203,Science,Tuition,18000,0,Overdue,2026-05-15,Term 3 fee record
STU000204,Student 204,Commerce,Tuition,18000,9000,Partial,2026-06-15,Term 1 fee record
STU000205,Student 205,Science,Tuition,12000,0,Overdue,2026-04-15,Term 2 fee record
STU000206,Student 206,Senior,Tuition,12000,6000,Partial,2026-01-15,Term 3 fee record
STU000207,Student 207,Science,Tuition,18000,0,Overdue,2026-07-15,Term 1 fee record
STU000208,Student 208,Commerce,Tuition,12000,6000,Partial,2026-09-15,Term 2 fee record
STU000209,Student 209,Secondary,Tuition,12000,0,Pending,2026-02-15,Term 3 fee record
STU000210,Student 210,Primary,Tuition,18000,9000,Partial,2026-04-15,Term 1 fee record
STU000211,Student 211,Science,Tuition,25000,25000,Paid,2026-03-15,Term 2 fee record
STU000212,Student 212,Primary,Tuition,25000,12500,Partial,2026-07-15,Term 3 fee record
STU000213,Student 213,Science,Tuition,12000,6000,Partial,2026-02-15,Term 1 fee record
STU000214,Student 214,Senior,Tuition,18000,18000,Paid,2026-02-15,Term 2 fee record
STU000215,Student 215,Primary,Tuition,18000,18000,Paid,2026-03-15,Term 3 fee record
STU000216,Student 216,Secondary,Tuition,12000,0,Overdue,2026-04-15,Term 1 fee record
STU000217,Student 217,Commerce,Tuition,18000,9000,Partial,2026-07-15,Term 2 fee record
STU000218,Student 218,Senior,Tuition,18000,9000,Partial,2026-03-15,Term 3 fee record
STU000219,Student 219,Science,Tuition,18000,0,Overdue,2026-02-15,Term 1 fee record
STU000220,Student 220,Commerce,Tuition,25000,25000,Paid,2026-06-15,Term 2 fee record
STU000221,Student 221,Primary,Tuition,12000,0,Overdue,2026-08-15,Term 3 fee record
STU000222,Student 222,Science,Tuition,25000,25000,Paid,2026-06-15,Term 1 fee record
STU000223,Student 223,Primary,Tuition,25000,25000,Paid,2026-07-15,Term 2 fee record
STU000224,Student 224,Secondary,Tuition,18000,0,Pending,2026-03-15,Term 3 fee record
STU000225,Student 225,Secondary,Tuition,25000,0,Overdue,2026-06-15,Term 1 fee record
STU000226,Student 226,Commerce,Tuition,12000,0,Overdue,2026-09-15,Term 2 fee record
STU000227,Student 227,Primary,Tuition,18000,9000,Partial,2026-08-15,Term 3 fee record
STU000228,Student 228,Senior,Tuition,18000,18000,Paid,2026-03-15,Term 1 fee record
STU000229,Student 229,Commerce,Tuition,12000,12000,Paid,2026-01-15,Term 2 fee record
STU000230,Student 230,Primary,Tuition,25000,0,Overdue,2026-06-15,Term 3 fee record
STU000231,Student 231,Secondary,Tuition,12000,0,Pending,2026-06-15,Term 1 fee record
STU000232,Student 232,Science,Tuition,12000,0,Pending,2026-08-15,Term 2 fee record
STU000233,Student 233,Commerce,Tuition,25000,0,Pending,2026-03-15,Term 3 fee record
STU000234,Student 234,Secondary,Tuition,18000,0,Overdue,2026-05-15,Term 1 fee record
STU000235,Student 235,Senior,Tuition,25000,0,Overdue,2026-08-15,Term 2 fee record
STU000236,Student 236,Science,Tuition,18000,9000,Partial,2026-02-15,Term 3 fee record
STU000237,Student 237,Commerce,Tuition,18000,0,Pending,2026-01-15,Term 1 fee record
STU000238,Student 238,Commerce,Tuition,12000,0,Pending,2026-09-15,Term 2 fee record
STU000239,Student 239,Primary,Tuition,25000,12500,Partial,2026-04-15,Term 3 fee record
STU000240,Student 240,Senior,Tuition,12000,0,Overdue,2026-08-15,Term 1 fee record
STU000241,Student 241,Science,Tuition,12000,0,Overdue,2026-03-15,Term 2 fee record
STU000242,Student 242,Senior,Tuition,18000,0,Pending,2026-03-15,Term 3 fee record
STU000243,Student 243,Science,Tuition,18000,0,Pending,2026-05-15,Term 1 fee record
STU000244,Student 244,Secondary,Tuition,25000,25000,Paid,2026-03-15,Term 2 fee record
STU000245,Student 245,Secondary,Tuition,12000,0,Pending,2026-03-15,Term 3 fee record
STU000246,Student 246,Senior,Tuition,12000,6000,Partial,2026-09-15,Term 1 fee record
STU000247,Student 247,Commerce,Tuition,12000,0,Overdue,2026-02-15,Term 2 fee record
STU000248,Student 248,Primary,Tuition,25000,12500,Partial,2026-04-15,Term 3 fee record
STU000249,Student 249,Primary,Tuition,18000,0,Pending,2026-08-15,Term 1 fee record
STU000250,Student 250,Science,Tuition,12000,12000,Paid,2026-07-15,Term 2 fee record
STU000251,Student 251,Secondary,Tuition,25000,0,Overdue,2026-05-15,Term 3 fee record
STU000252,Student 252,Commerce,Tuition,18000,9000,Partial,2026-02-15,Term 1 fee record
STU000253,Student 253,Commerce,Tuition,25000,12500,Partial,2026-02-15,Term 2 fee record
STU000254,Student 254,Secondary,Tuition,18000,18000,Paid,2026-02-15,Term 3 fee record
STU000255,Student 255,Commerce,Tuition,25000,0,Overdue,2026-02-15,Term 1 fee record
STU000256,Student 256,Primary,Tuition,25000,0,Overdue,2026-07-15,Term 2 fee record
STU000257,Student 257,Secondary,Tuition,25000,0,Overdue,2026-05-15,Term 3 fee record
STU000258,Student 258,Commerce,Tuition,25000,25000,Paid,2026-01-15,Term 1 fee record
STU000259,Student 259,Science,Tuition,25000,0,Pending,2026-03-15,Term 2 fee record
STU000260,Student 260,Science,Tuition,18000,0,Overdue,2026-05-15,Term 3 fee record
STU000261,Student 261,Science,Tuition,18000,0,Overdue,2026-02-15,Term 1 fee record
STU000262,Student 262,Secondary,Tuition,18000,0,Pending,2026-07-15,Term 2 fee record
STU000263,Student 263,Senior,Tuition,25000,25000,Paid,2026-05-15,Term 3 fee record
STU000264,Student 264,Senior,Tuition,18000,0,Overdue,2026-08-15,Term 1 fee record
STU000265,Student 265,Primary,Tuition,18000,18000,Paid,2026-03-15,Term 2 fee record
STU000266,Student 266,Secondary,Tuition,25000,25000,Paid,2026-03-15,Term 3 fee record
STU000267,Student 267,Commerce,Tuition,12000,0,Pending,2026-01-15,Term 1 fee record
STU000268,Student 268,Primary,Tuition,18000,18000,Paid,2026-04-15,Term 2 fee record
STU000269,Student 269,Primary,Tuition,12000,0,Pending,2026-07-15,Term 3 fee record
STU000270,Student 270,Senior,Tuition,18000,18000,Paid,2026-07-15,Term 1 fee record
STU000271,Student 271,Secondary,Tuition,25000,0,Pending,2026-03-15,Term 2 fee record
STU000272,Student 272,Commerce,Tuition,25000,0,Overdue,2026-06-15,Term 3 fee record
STU000273,Student 273,Commerce,Tuition,18000,18000,Paid,2026-06-15,Term 1 fee record
STU000274,Student 274,Senior,Tuition,12000,12000,Paid,2026-06-15,Term 2 fee record
STU000275,Student 275,Senior,Tuition,12000,6000,Partial,2026-08-15,Term 3 fee record
STU000276,Student 276,Secondary,Tuition,12000,0,Overdue,2026-09-15,Term 1 fee record
STU000277,Student 277,Primary,Tuition,18000,9000,Partial,2026-03-15,Term 2 fee record
STU000278,Student 278,Science,Tuition,18000,9000,Partial,2026-04-15,Term 3 fee record
STU000279,Student 279,Science,Tuition,18000,0,Pending,2026-04-15,Term 1 fee record
STU000280,Student 280,Science,Tuition,25000,0,Pending,2026-01-15,Term 2 fee record
STU000281,Student 281,Primary,Tuition,25000,0,Pending,2026-03-15,Term 3 fee record
STU000282,Student 282,Science,Tuition,12000,0,Overdue,2026-07-15,Term 1 fee record
STU000283,Student 283,Senior,Tuition,25000,12500,Partial,2026-02-15,Term 2 fee record
STU000284,Student 284,Commerce,Tuition,18000,9000,Partial,2026-02-15,Term 3 fee record
STU000285,Student 285,Secondary,Tuition,18000,0,Pending,2026-09-15,Term 1 fee record
STU000286,Student 286,Science,Tuition,25000,25000,Paid,2026-05-15,Term 2 fee record
STU000287,Student 287,Science,Tuition,12000,6000,Partial,2026-03-15,Term 3 fee record
STU000288,Student 288,Senior,Tuition,12000,12000,Paid,2026-06-15,Term 1 fee record
STU000289,Student 289,Secondary,Tuition,12000,6000,Partial,2026-03-15,Term 2 fee record
STU000290,Student 290,Commerce,Tuition,25000,25000,Paid,2026-01-15,Term 3 fee record
STU000291,Student 291,Secondary,Tuition,18000,0,Pending,2026-05-15,Term 1 fee record
STU000292,Student 292,Science,Tuition,25000,0,Overdue,2026-01-15,Term 2 fee record
STU000293,Student 293,Commerce,Tuition,12000,0,Pending,2026-08-15,Term 3 fee record
STU000294,Student 294,Science,Tuition,12000,0,Pending,2026-07-15,Term 1 fee record
STU000295,Student 295,Secondary,Tuition,12000,0,Overdue,2026-06-15,Term 2 fee record
STU000296,Student 296,Senior,Tuition,25000,0,Pending,2026-04-15,Term 3 fee record
STU000297,Student 297,Primary,Tuition,25000,12500,Partial,2026-01-15,Term 1 fee record
STU000298,Student 298,Commerce,Tuition,25000,0,Pending,2026-08-15,Term 2 fee record
STU000299,Student 299,Commerce,Tuition,25000,25000,Paid,2026-06-15,Term 3 fee record
STU000300,Student 300,Senior,Tuition,18000,0,Overdue,2026-08-15,Term 1 fee record
STU000301,Student 301,Commerce,Tuition,18000,0,Overdue,2026-02-15,Term 2 fee record
STU000302,Student 302,Science,Tuition,25000,25000,Paid,2026-06-15,Term 3 fee record
STU000303,Student 303,Commerce,Tuition,25000,0,Overdue,2026-01-15,Term 1 fee record
STU000304,Student 304,Senior,Tuition,18000,18000,Paid,2026-07-15,Term 2 fee record
STU000305,Student 305,Science,Tuition,25000,0,Overdue,2026-06-15,Term 3 fee record
STU000306,Student 306,Secondary,Tuition,18000,18000,Paid,2026-02-15,Term 1 fee record
STU000307,Student 307,Science,Tuition,18000,0,Pending,2026-07-15,Term 2 fee record
STU000308,Student 308,Primary,Tuition,12000,0,Overdue,2026-09-15,Term 3 fee record
STU000309,Student 309,Commerce,Tuition,12000,6000,Partial,2026-04-15,Term 1 fee record
